Code List Name,Attribute Value,Code
Advertised Origin,Imported,GM03ADVOIM
Advertised Origin,Made  in Canada,GM03ADVOMC
Advertised Origin,Made in U .S.A.,GM03ADVOMU
Advertised Origin,Made in U .S.A. and Imported,GM03ADVOUI
Advertised Origin,Made in U .S.A. or Imported,GM03ADVOUO
Advertised Origin,Made in another country,GM04ADVO99
Bag Type,Backpack,GM03BGSTBA
Bag Type,Saddle Bag,GM03BGSTSB
Bag Type,Bucket Bag,GM03BGSTBB
Bag Type,Satchel,GM03BGSTSA
Bag Type,Clutch,GM03BGSTCL
Bag Type,Shopper,GM03BGSTSJ
Bag Type,Crossbody,GM03BGSTCR
Bag Type,Shoulder Bag,GM03BGSTSH
Bag Type,Diaper Bag,GM03BGSTDB
Bag Type,Tote,GM03BGSTTT
Bag Type,Duffel,GM03BGSTDU
Bag Type,Waist Bag,GM03BGSTWB
Bag Type,Hobo,GM03BGSTHB
Bag Type,Wristlet,GM03BGSTWR
Bag Type,Messenger Bag,GM03BGSTMB
Bag Type,Other,GM04BGST99
Bag Type,Pouch,GM03BGSTPH
Band Type,Bangle,JW03WBNDBA
Band Type,Bracelet,JW03WBNDBR
Band Type,Cuff,JW03WBNDCU
Band Type,NATO Strap,JW03WBNDNA
Band Type,Strap,JW03WBNDST
Band Type,Other,JW04WBND99
Beauty Area of Use,Body,GM03BAOUBD
Beauty Area of Use,Lip,GM03BAOULP
Beauty Area of Use,Brow,GM03BAOUBR
Beauty Area of Use,Multi,GM03BAOUMU
Beauty Area of Use,Cheek,GM03BAOUCH
Beauty Area of Use,Nail,GM03BAOUNA
Beauty Area of Use,Eye,GM03BAOUEY
Beauty Area of Use,Neck,GM03BAOUNE
Beauty Area of Use,Face,GM03BAOUFA
Beauty Area of Use,Pedi,GM03BAOUPE
Beauty Area of Use,Hair,GM03BAOUHR
Beauty Area of Use,Teeth,GM03BAOUTE
Beauty Area of Use,Hand,GM03BAOUHN
Beauty Area of Use,Other,GM04BAOU99
Beauty Area of Use,Lash,GM03BAOULA
Bea uty Treatment Specialty,After Sun,GM03BTSPAS
Bea uty Treatment Specialty,Redness/Rosacea,GM03BTSPRR
Bea uty Treatment Specialty,Anti-Acne,GM03BTSPAA
Bea uty Treatment Specialty,Repair,GM03BTSPRE
Bea uty Treatment Specialty,Cellulite,GM03BTSPCE
Bea uty Treatment Specialty,Self Tan,GM03BTSPST
Bea uty Treatment Specialty,Conditioning,GM03BTSPCD
Bea uty Treatment Specialty,Shaving,GM03BTSPSH
Bea uty Treatment Specialty,Day,GM03BTSPDA
Bea uty Treatment Specialty,Uneven Skin Tone,GM03BTSPUN
Bea uty Treatment Specialty,Firming/Lifting,GM03BTSPFL
Bea uty Treatment Specialty,Wrinkles,GM03BTSPWR
Bea uty Treatment Specialty,Moisturizing,GM03BTSPMS
Bea uty Treatment Specialty,Other,GM04BTSP99
Bea uty Treatment Specialty,Night,GM03BTSPNI
Bedding Size,Baby/Swa ddle,GM03BDSZBS
Bedding Size,Jumbo,GM03BDSZJU
Bedding Size,Body,GM03BDSZBD
Bedding Size,King,GM03BDSZKI
Bedding Size,California King,GM03BDSZCK
Bedding Size,Queen,GM03BDSZQU
Bedding Size,Contour,GM03BDSZCN
Bedding Size,Standard,GM03BDSZST
Bedding Size,Crib,GM03BDSZCR
Bedding Size,Throw,GM03BDSZTH
Bedding Size,Euro,GM03BDSZEU
Bedding Size,Twin,GM03BDSZTW
Bedding Size,Full/Queen,GM03BDSZFQ
Bedding Size,Twin Extra Long,GM03BDSZTX
Bedding Size,Full/Standard,GM03BDSZFS
Bedding Size,Other,GM04BDSZ99
Bedding Type,Bedspread,GM03BEDTBS
Bedding Type,Pillowcase,GM03BEDTPC
Bedding Type,Comforter,GM03BEDTCM
Bedding Type,Sham,GM03BEDTSH
Bedding Type,Duvet Cover,GM03BEDTDC
Bedding Type,Sheet Set,GM03BEDTSS
Bedding Type,Fitted Sheet,GM03BEDTFI
Bedding Type,Other,GM04BEDT99
Bedding Type,Flat Sheet,GM03BEDTFL
Bill Logo Application,Fabric Applique,GM03BILLFA
Bill Logo Application,Screen Print,GM03BILLSP
Bill Logo Application,Raised Embroidery,GM03BILLRE
Bill Logo Application,Other,GM04BILL99
Bill Type,Flip Color,GM03BILTFC
Bill Type,Print,GM03BILTPR
Bill Type,Flip Up,GM03BILTFU
Bill Type,Sandwich,GM03BILTSA
Bill Type,Normal  GM03B ILTNL  Short,GM03BILTSH
Boot Shaft Type,Ankle,GM03BTSTAN
Boot Shaft Type,Over Knee,GM03BTSTOK
Boot Shaft Type,Knee High,GM03BTSTKH
Boot Shaft Type,Tall,GM03BTSTTL
Boot Shaft Type,Low Shaft,GM03BTSTLS
Boot Shaft Type,Mid,GM03BTSTMI
Bracelet Type,Adjustable,JW03BRTTAD
Bracelet Type,Hinge,JW03BRTTHN
Bracelet Type,Bangle,JW03BRTTBA
Bracelet Type,Line,JW03BRTTLI
Bracelet Type,Bracelet Set,JW03BRTTBS
Bracelet Type,Open Cuff,JW03BRTTOC
Bracelet Type,Chain,JW03BRTTCH
Bracelet Type,Stretch,JW03BRTTST
Bracelet Type,Charm,JW03BRTTCM
Bracelet Type,Wrap,JW03BRTTWR
Bracelet Type,Coil,JW03BRTTCL
Bracelet Type,Other,JW04BRTT99
Bracelet Type,Cuff,JW03BRTTCF
Care Instructions Code,Dishwasher Safe,GM03CAINDS
Care Instructions Code,Machine Wash Hot,GM03CAINMH
Care Instructions Code,Do Not Iron,GM03CAINDN
Care Instructions Code,Machine Wash Line Dry,GM03CAINML
Care Instructions Code,Dry Clean,GM03CAINDC
Care Instructions Code,Machine Wash Tumble Dry,GM03CAINMT
Care Instructions Code,Hand Wash,GM03CAINHW
Care Instructions Code,Machine Wash Warm,GM03CAINMW
Care Instructions Code,Leather Method Dry Cleaning,GM03CAINLM
Care Instructions Code,Spot Clean,GM03CAINSC
Care Instructions Code,Machine Wash Cold,GM03CAINMC
Care Instructions Code,Wash Separately,GM03CAINWS
Care Instructions Code,Machine Wash Dry Flat,GM03CAINMD
Care Instructions Code,Other,GM04CAIN99
Closure,Adjustable/Pull,GM03CLOSAP
Closure,Leverback,GM03CLOSLB
Closure,Back Button/Zip,GM03CLOSBB
Closure,Lift-Lock,GM03CLOSLL
Closure,Back Hook/Zip,GM03CLOSBH
Closure,Link/Clasp,GM03CLOSLC
Closure,Barrel,GM03CLOSBA
Closure,Lobster Claw,GM03CLOSLW
Closure,Box Tab Insert,GM03CLOSBT
Closure,Magnetic,GM03CLOSMG
Closure,Buckle,GM03CLOSBU
Closure,Pierced Post,GM03CLOSPP
Closure,Button,GM03CLOSBN
Closure,Push-Lock,GM03CLOSPL
Closure,Button Back,GM03CLOSBK
Closure,Side Button/Zip,GM03CLOSSB
Closure,Button Front,GM03CLOSBF
Closure,Side Hook/Zip,GM03CLOSSZ
Closure,Button Front Partial,GM03CLOSBP
Closure,Snap,GM03CLOSSN
Closure,Button Shoulder,GM03CLOSBS
Closure,Snap Back,GM03CLOSSM
Closure,Clasp,GM03CLOSCL
Closure,Snap Front,GM03CLOSSF
Closure,Click Top  GM03CL OSCT  Snap Front Partial,GM03CLOSS2
Closure,Clip On,GM03CLOSCO
Closure,Snap Legs,GM03CLOSSE
Closure,Drawstring,GM03CLOSDS
Closure,Snap Shoulder,GM03CLOSSS
Closure,Drawstring Front,GM03CLOSDF
Closure,Snap Post,GM03CLOSSA
Closure,Drawstring Elastic,GM03CLOSDE
Closure,String,GM03CLOSSR
Closure,D Ring,GM03CLOSDR
Closure,O Ring,GM03CLOSDO
Closure,Tab,GM03CLOSTB
Closure,Fishhook,GM03CLOSFS
Closure,Tie,GM03CLOSTI
Closure,Flap,GM03CLOSFP
Closure,Tie Back/Halter,GM03CLOSTH
Closure,Foldover,GM03CLOSFO
Closure,Tie Front,GM03CLOSTF
Closure,French Wire,GM03CLOSFW
Closure,Tie Side,GM03CLOSTS
Closure,Frog/Button Loop,GM03CLOSFA
Closure,Toggle,GM03CLOSTO
Closure,Front Button/Zip,GM03CLOSFZ
Closure,Toggle Front,GM03CLOSTN
Closure,Front Hook/Zip,GM03CLOSFH
Closure,Top Zip,GM03CLOSTZ
Closure,Hidden Button Front,GM03CLOSHB
Closure,Tunnel Side Tie,GM03CLOSTQ
Closure,Hidden Snap Front,GM03CLOSHS
Closure,Turn Lock,GM03CLOSTL
Closure,Hidden Zip Front,GM03CLOSHZ
Closure,Wrap,GM03CLOSWR
Closure,Hinged,GM03CLOSHI
Closure,Zipper,GM03CLOSZI
Closure,Hinged/Foldover,GM03CLOSHE
Closure,Zipper Back,GM03CLOSZB
Closure,Hook,GM03CLOSHO
Closure,Zipper Back Partial,GM03CLOSZP
Closure,Hook and Loop,GM03CLOSHL
Closure,Zipper Front,GM03CLOSZF
Closure,Hook-and-eye Front,GM03CLOSHC
Closure,Zipper Front Partial,GM03CLOSZR
Closure,Hook-and-eye Back,GM03CLOSHD
Closure,Zipper Side,GM03CLOSZS
Closure,Keyhole Button,GM03CLOSKB
Closure,Zipper Around,GM03CLOSZA
Closure,Kiss-Lock,GM03CLOSKL
Closure,1/4 Zip,GM03CLOSZQ
Closure,Knot,GM03CLOSKN
Closure,1/2 Zip,GM03CLOSZH
Closure,Lace Up,GM03CLOSLU
Closure,Other Closure,GM04CLOS99
Closure,Lace-up Front,GM03CLOSLF
Coat/Jacket Type,Anorak,GM03COATAN
Coat/Jacket Type,Pant/Car Coat,GM03COATPC
Coat/Jacket Type,Barn Coat,GM03COATBC
Coat/Jacket Type,Parka,GM03COATPA
Coat/Jacket Type,Blazer,GM03COATBA
Coat/Jacket Type,Peacoat,GM03COATPE
Coat/Jacket Type,Bolero,GM03COATBL
Coat/Jacket Type,Poncho,GM03COATPN
Coat/Jacket Type,Bomber,GM03COATBM
Coat/Jacket Type,Puffer,GM03COATPU
Coat/Jacket Type,Cape,GM03COATCP
Coat/Jacket Type,Sportscoat,GM03COATSP
Coat/Jacket Type,Cardigan,GM03COATCA
Coat/Jacket Type,Swing Coat,GM03COATSC
Coat/Jacket Type,Field Jacket,GM03COATFK
Coat/Jacket Type,Trench,GM03COATTR
Coat/Jacket Type,Fit & Flare,GM03COATFF
Coat/Jacket Type,Trucker,GM03COATTU
Coat/Jacket Type,Hoodie,GM03COATHO
Coat/Jacket Type,Vest,GM03COATVE
Coat/Jacket Type,Military,GM03COATMI
Coat/Jacket Type,Windbreaker,GM03COATWI
Coat/Jacket Type,Motorcycle,GM03COATMT
Coat/Jacket Type,Wrap,GM03COATWR
Coat/Jacket Type,Overcoat,GM03COATOC
Coat/Jacket Type,Other,GM04COAT99
Collar/Neck Type,Ballet,GM03CLNTBL
Collar/Neck Type,Plunge,GM03CLNTPJ
Collar/Neck Type,Banded,GM03CLNTBC
Collar/Neck Type,Point,GM03CLNTPO
Collar/Neck Type,Boat or Bateau,GM03CLNTBE
Collar/Neck Type,Polo,GM03CLNTPU
Collar/Neck Type,Button -Down,GM03CLNTBD
Collar/Neck Type,Portrait Collar,GM03CLNTPR
Collar/Neck Type,Cowl,GM03CLNTCW
Collar/Neck Type,¼-Zip Mock,GM03CLNTQZ
Collar/Neck Type,Crew,GM03CLNTCR
Collar/Neck Type,Racer Back,GM03CLNTRB
Collar/Neck Type,Drape,GM03CLNTDP
Collar/Neck Type,Rolled,GM03CLNTRO
Collar/Neck Type,Funnel,GM03CLNTFU
Collar/Neck Type,Round,GM03CLNTRU
Collar/Neck Type,Halter,GM03CLNTHA
Collar/Neck Type,Sailor,GM03CLNTSD
Collar/Neck Type,Henley,GM03CLNTHN
Collar/Neck Type,Scoop,GM03CLNTSC
Collar/Neck Type,Henley Faux,GM03CLNTHF
Collar/Neck Type,Shawl,GM03CLNTSH
Collar/Neck Type,Henley Functional,GM03CLNTHU
Collar/Neck Type,Slider Halter,GM03CLNTSL
Collar/Neck Type,Jewel,GM03CLNTJE
Collar/Neck Type,Spread,GM03CLNTS
Collar/Neck Type,Johnny,GM03CLNTJO
Collar/Neck Type,Square,GM03CLNTSQ
Collar/Neck Type,Keyhole,GM03CLNTKE
Collar/Neck Type,Stand,GM03CLNTSV
Collar/Neck Type,Mandarin,GM03CLNTMB
Collar/Neck Type,Surplice,GM03CLNTSU
Collar/Neck Type,Marilyn,GM03CLNTMI
Collar/Neck Type,Sweetheart,GM03CLNTSX
Collar/Neck Type,Mockneck,GM03CLNTMO
Collar/Neck Type,Tab,GM03CLNTTA
Collar/Neck Type,Necklace,GM03CLNTNE
Collar/Neck Type,Tie,GM03CLNTTI
Collar/Neck Type,Notch,GM03CLNTNO
Collar/Neck Type,Turtle,GM03CLNTTU
Collar/Neck Type,Off the Shoulder,GM03CLNTOR
Collar/Neck Type,V-Neck,GM03CLNTVN
Collar/Neck Type,One Shoulder,GM03CLNTOS
Collar/Neck Type,Wing,GM03CLNTWI
Collar/Neck Type,Ottoman,GM03CLNTOT
Collar/Neck Type,Y-Neck,GM03CLNTYN
Collar/Neck Type,Peter Pan,GM03CLNTPA
Collar/Neck Type,Other Collar,GM04CLNT99
Collar/Neck Type,Platter,GM03CLNTPE
Conference,ACC,ZZ03CONFAC
Conference,National League,ZZ03CONFNL
Conference,AFC,ZZ03CONFAF
Conference,NFC,ZZ03CONFNF
Conference,American League,ZZ03CONFAL
Conference,Pac 12,ZZ03CONFPA
Conference,Big 10,ZZ03CONFBT
Conference,SEC,ZZ03CONFSE
Conference,Big 12,ZZ03CONFBW
Conference,The Ame rican,ZZ03CONFAM
Conference,Eastern,ZZ03CONFEA
Conference,Western,ZZ03CONFWE
Conference,Independents,ZZ03CONFIN
Conference,Other,ZZ04CONF99
Code List for Consumer Life  Stage,Adult,GM03CNLSAD
Code List for Consumer Life  Stage,Teen,GM03CNLSTE
Code List for Consumer Life  Stage,All Ag es,GM03CNLSAG
Code List for Consumer Life  Stage,Toddler,GM03CNLSTD
Code List for Consumer Life  Stage,Baby/Infant,GM03CNLSBI
Code List for Consumer Life  Stage,Unclassified,GM03CNLSYA
Code List for Consumer Life  Stage,Child,GM03CNLSCH
Code List for Consumer Life  Stage,Unidentified,GM03CNLSUC
Code List for Consumer Life  Stage,Child 1 -2 Years,GM03CNLSCT
Code List for Consumer Life  Stage,Young Adult,GM03CNLS
Code List for Consumer Life  Stage,Child 2 Years Onwards,GM03CNLSCW
Code List for Consumer Life  Stage,Other,GM04CNLS99
Code List for Consumer Life  Stage,Preemie,GM03CNLSPR
Code List for Cookware Type,Cake Pan,GM03COOKCP
Code List for Cookware Type,Pie Pan,GM03COOKPP
Code List for Cookware Type,Casserole Dish,GM03COOKCD
Code List for Cookware Type,Pizza Pan,GM03COOKPI
Code List for Cookware Type,Cookie Sheet,GM03COOKCS
Code List for Cookware Type,Pressure Cooker,GM03COOKPC
Code List for Cookware Type,Cupcake/Muffin Pan  GM03CO OKCM  Roaster,GM03COOKRR
Code List for Cookware Type,Dutch Oven,GM03COOKDU
Code List for Cookware Type,Saucepan,GM03COOKSA
Code List for Cookware Type,Frying Pan,GM03COOKFP
Code List for Cookware Type,Sauté Pan,GM03COOKSE
Code List for Cookware Type,Griddle,GM03COOKGR
Code List for Cookware Type,Set,GM03COOKST
Code List for Cookware Type,Lids and accessory,GM03COOKLA
Code List for Cookware Type,Specialty,GM03COOKSP
Code List for Cookware Type,Multi-Cooker/Stockpot,GM03COOKMS
Code List for Cookware Type,Other,GM04COOK99
Code List for Crown,High,GM03CRWNHI
Code List for Crown,None,GM03CRWNNN
Code List for Crown,Low,GM03CRWNLW
Code List for Crown,Other,GM04CRWN99
Code List for Crown,Mid,GM03CRWNMD
Code List for Cuff Type,Barrel,GM03CFTPB
Code List for Cuff Type,A No Cuff,GM03CFTPNC
Code List for Cuff Type,Bottom Hem Cuffed,GM03CFTPBH
Code List for Cuff Type,One Button,GM03CFTPBU
Code List for Cuff Type,Elastic,GM03CFTPEL
Code List for Cuff Type,Ribbed,GM03CFTPRB
Code List for Cuff Type,Faux Fur,GM03CFTPFF
Code List for Cuff Type,Thumb Hole,GM03CFTPTH
Code List for Cuff Type,Folded,GM03CFTPFD
Code List for Cuff Type,Two-Button,GM03CFTPTB
Code List for Cuff Type,French,GM03CFTPFR
Code List for Cuff Type,Other,GM04CFTP99
Code List for Cuff Type,Mitered,GM03CFTPMI
Code List for Dinnerware Category,Everyday,GM03DNRCEV
Code List for Dinnerware Category,Other,GM04DNRC99
Code List for Dinnerware Category,Fine China,GM03DNRCFC
Code List for Dress Type,A-line,GM03DRTPAL
Code List for Dress Type,Pencil,GM03DRTPPE
Code List for Dress Type,Babydoll,GM03DRTPBA
Code List for Dress Type,Peplum,GM03DRTPPL
Code List for Dress Type,Blouson,GM03DRTPBL
Code List for Dress Type,Popover,GM03DRTPPV
Code List for Dress Type,Body-Conscious,GM03DRTPBC
Code List for Dress Type,Sheath,GM03DRTPSE
Code List for Dress Type,Caftan,GM03DRTPCA
Code List for Dress Type,Shift,GM03DRTPSI
Code List for Dress Type,Circular,GM03DRTPCI
Code List for Dress Type,Shirtdress,GM03DRTPSD
Code List for Dress Type,Dress,GM03DRTPDR
Code List for Dress Type,Skater,GM03DRTPSK
Code List for Dress Type,Drop Waist,GM03DRTPDW
Code List for Dress Type,Skort,GM03DRTPSR
Code List for Dress Type,Empire Waist,GM03DRTPEW
Code List for Dress Type,Slipdress,GM03DRTPSL
Code List for Dress Type,Faux Wrap,GM03DRTPFW
Code List for Dress Type,Sweater Dress,GM03DRTPSW
Code List for Dress Type,Flared,GM03DRTPFL
Code List for Dress Type,Tank Dress,GM03DRTPTD
Code List for Dress Type,Full Skirt,GM03DRTPFS
Code List for Dress Type,Tiered,GM03DRTPTI
Code List for Dress Type,Gown,GM03DRTPGN
Code List for Dress Type,Two Piece,GM03DRTPTP
Code List for Dress Type,Jacket Dress,GM03DRTPJD
Code List for Dress Type,Wedding,GM03DRTPWE
Code List for Dress Type,Jumper,GM03DRTPJU
Code List for Dress Type,Wrap,GM03DRTPWR
Code List for Dress Type,Maternity,GM03DRTPMA
Code List for Dress Type,Other,GM04DRTP99
Code List for Dress Type,Mermaid/Trumpet,GM03DRTPMT
Code List for Earring Type,Button,JW03EATPBU
Code List for Earring Type,Ear Wrap,JW03EATPEW
Code List for Earring Type,Chandelier,JW03EATPCH
Code List for Earring Type,Hoop,JW03EATPHP
Code List for Earring Type,Drop,JW03EATPDR
Code List for Earring Type,Stud,JW03EATPST
Code List for Earring Type,Ear Cuff,JW03EATPEC
Code List for Earring Type,Other,JW04EATP99
Code List for Earring Type,Ear Jacket,JW03EATPEJ
Code List for Eyewear Type,Aviator,GM03EYESAV
Code List for Eyewear Type,Polarized Lenses,GM03EYESPL
Code List for Eyewear Type,Brow Bar,GM03EYESBB
Code List for Eyewear Type,Shield,GM03EYESSH
Code List for Eyewear Type,Cat Eye,GM03EYESCE
Code List for Eyewear Type,Wayfarer,GM03EYESWA
Code List for Eyewear Type,Clubmaster,GM03EYESCL
Code List for Eyewear Type,Wrap,GM03EYESWR
Code List for Eyewear Type,Mirrored Lenses,GM03EYESML
Code List for Eyewear Type,Other,GM04EYES99
Code List for Fill Material,Down,GM03FILMDW
Code List for Fill Material,Natural Fill,GM03FILMNA
Code List for Fill Material,Down Alternative,GM03FILMDA
Code List for Fill Material,Nylon Fill,GM03FILMNY
Code List for Fill Material,Down/Feather,GM03FILMDF
Code List for Fill Material,Polyfill,GM03FILMPY
Code List for Fill Material,Feather,GM03FILMFE
Code List for Fill Material,Synthetic,GM03FILMSY
Code List for Fill Material,Latex Foam,GM03FILMLF
Code List for Fill Material,Other,GM04FILM99
Code List for Fill Material,Memory Foam,GM03FILMMF
Code List for Finish,Acid Washed,GM03FNSHAW
Code List for Finish,Patent,GM03FNSHPA
Code List for Finish,Antique,GM03FNSHAN
Code List for Finish,Polished,GM03FNSHPL
Code List for Finish,Brushed,GM03FNSHBR
Code List for Finish,Raw/Dry,GM03FNSHRD
Code List for Finish,Coated,GM03FNSHCT
Code List for Finish,Rub-Off,GM03FNSHRB
Code List for Finish,Distressed,GM03FNSHDI
Code List for Finish,Satin,GM03FNSHSA
Code List for Finish,Dual/Etched,GM03FNSHDE
Code List for Finish,Shiny,GM03FNSHSH
Code List for Finish,Embossed,GM03FNSHEM
Code List for Finish,Stone Wash,GM03FNSHSW
Code List for Finish,Matte,GM03FNSHMA
Code List for Finish,Velvet,GM03FNSHVE
Code List for Finish,Matte/Frosted,GM03FNSHMF
Code List for Finish,Metallic,GM03FNSHME
Code List for Finish,Other,GM04FNSH99
Code List for Finish,Nappa,GM03FNSHNA
Code List for Fit,Relaxed,GM03FITTRE
Code List for Fit,Other,GM04FITT99
Code List for Fit,Structured,GM03FITTST
Code List for Flatware Type,Butter Knife,GM03FLATBU
Code List for Flatware Type,Pasta Server,GM03FLATPA
Code List for Flatware Type,Cake Knife,GM03FLATCA
Code List for Flatware Type,Pierced Serving Spoon,GM03FLATPI
Code List for Flatware Type,Carving Fork,GM03FLATCR
Code List for Flatware Type,Salad Fork,GM03FLATSA
Code List for Flatware Type,Cocktail Fork,GM03FLATCC
Code List for Flatware Type,Serving Fork,GM03FLATSF
Code List for Flatware Type,Cocktail Spoon,GM03FLATCS
Code List for Flatware Type,Serving Spoon,GM03FLATSS
Code List for Flatware Type,Dessert Server,GM03FLATDE
Code List for Flatware Type,Soup Spoon,GM03FLATSP
Code List for Flatware Type,Dinner Fork,GM03FLATDI
Code List for Flatware Type,Spoon,GM03FLATSN
Code List for Flatware Type,Fork,GM03FLATFK
Code List for Flatware Type,Spreader Knife,GM03FLATSK
Code List for Flatware Type,Ice Tea Spoon,GM03FLATIC
Code List for Flatware Type,Steak Knife,GM03FLATST
Code List for Flatware Type,Knife,GM03FLATKN
Code List for Flatware Type,Sugar Spoon,GM03FLATSU
Code List for Flatware Type,Ladle,GM03FLATLD
Code List for Flatware Type,Tablespoon,GM03FLATTA
Code List for Flatware Type,Lasagna Server,GM03FLATLS
Code List for Flatware Type,Teaspoon,GM03FLATTE
