category,brickCode,brickName,codeListName,requirement
Shoes,10001077,Shoes - General Purpose,Closure,E
Shoes,10001077,Shoes - General Purpose,Gender,E
Shoes,10001077,Shoes - General Purpose,Shoe Type,E
Shoes,10001077,Shoes - General Purpose,Sole Type,E
Shoes,10001077,Shoes - General Purpose,Toe Shape,E
Shoes,10001076,Boots - General Purpose,Closure,E
Shoes,10001076,Boots - General Purpose,Gender,E
Shoes,10001076,Boots - General Purpose,Shoe Type,E
Shoes,10001076,Boots - General Purpose,Sole Type,E
Shoes,10001076,Boots - General Purpose,Toe Shape,E
Shoes,10001070,Athletic Footwear - General Purpose,Closure,E
Shoes,10001070,Athletic Footwear - General Purpose,Gender,E
Shoes,10001070,Athletic Footwear - General Purpose,Shoe Type,E
Shoes,10001070,Athletic Footwear - General Purpose,Sole Type,E
Shoes,10001071,Athletic Footwear - Specialist,Closure,E
Shoes,10001071,Athletic Footwear - Specialist,Gender,E
Shoes,10001071,Athletic Footwear - Specialist,Shoe Type,E
Shoes,10001071,Athletic Footwear - Specialist,Sole Type,E
Shoes,10001078,Indoor Footwear - Fully Enclosed Uppers,Closure,E
Shoes,10001078,Indoor Footwear - Fully Enclosed Uppers,Gender,E
Shoes,10001078,Indoor Footwear - Fully Enclosed Uppers,Shoe Type,E
Shoes,10001078,Indoor Footwear - Fully Enclosed Uppers,Sole Type,E
Shoes,10001078,Indoor Footwear - Fully Enclosed Uppers,Toe Shape,E
Shoes,10001079,Indoor Footwear - Partially Enclosed Uppers,Closure,E
Shoes,10001079,Indoor Footwear - Partially Enclosed Uppers,Gender,E
Shoes,10001079,Indoor Footwear - Partially Enclosed Uppers,Shoe Type,E
Shoes,10001079,Indoor Footwear - Partially Enclosed Uppers,Sole Type,E
Shoes,10001079,Indoor Footwear - Partially Enclosed Uppers,Toe Shape,E
Shoes,10001081,Safety/Protective Occupational Overshoes,Closure,E
Shoes,10001081,Safety/Protective Occupational Overshoes,Gender,E
Shoes,10001081,Safety/Protective Occupational Overshoes,Shoe Type,E
Shoes,10001081,Safety/Protective Occupational Overshoes,Sole Type,E
